getID,getDtDef,getIsFirstClassConcept,getIsSpecialCase,getMsItemKindString,getInheritedDtDef,getInheritedMsItemKindString(),
1951,print-object,true,false,xs:attribute,yes-no,xs:simpleType,
1958,print-spacing,true,false,xs:attribute,yes-no,xs:simpleType,
1987,print-dot,true,false,xs:attribute,yes-no,xs:simpleType,
1992,print-lyric,true,false,xs:attribute,yes-no,xs:simpleType,
1999,underline,true,false,xs:attribute,number-of-lines,xs:simpleType,
2002,overline,true,false,xs:attribute,number-of-lines,xs:simpleType,
2005,line-through,true,false,xs:attribute,number-of-lines,xs:simpleType,
2012,dir,true,false,xs:attribute,text-direction,xs:simpleType,
2031,lang,false,true,xs:attribute,xml:lang,xs:simpleType,
2033,space,false,true,xs:attribute,xml:space,xs:simpleType,
2043,rotation,true,false,xs:attribute,rotation-degrees,xs:simpleType,
2050,start-note,true,false,xs:attribute,start-note,xs:simpleType,
2053,trill-step,true,false,xs:attribute,trill-step,xs:simpleType,
2056,two-note-turn,true,false,xs:attribute,two-note-turn,xs:simpleType,
2059,accelerate,true,false,xs:attribute,yes-no,xs:simpleType,
2062,beats,true,false,xs:attribute,trill-beats,xs:simpleType,
2065,second-beat,true,false,xs:attribute,percent,xs:simpleType,
2068,last-beat,true,false,xs:attribute,percent,xs:simpleType,
2075,valign,true,false,xs:attribute,valign,xs:simpleType,
2082,valign,true,false,xs:attribute,valign-image,xs:simpleType,
2089,default-x,true,false,xs:attribute,tenths,xs:simpleType,
2092,default-y,true,false,xs:attribute,tenths,xs:simpleType,
2095,relative-x,true,false,xs:attribute,tenths,xs:simpleType,
2098,relative-y,true,false,xs:attribute,tenths,xs:simpleType,
2105,default-x,true,false,xs:attribute,tenths,xs:simpleType,
2108,default-y,true,false,xs:attribute,tenths,xs:simpleType,
2111,relative-x,true,false,xs:attribute,tenths,xs:simpleType,
2114,relative-y,true,false,xs:attribute,tenths,xs:simpleType,
2121,source,true,false,xs:attribute,xs:anyURI,xs:simpleType,
2125,type,true,false,xs:attribute,xs:token,xs:simpleType,
2139,staff-spacing,true,false,xs:attribute,tenths,xs:simpleType,
2142,new-system,true,false,xs:attribute,yes-no,xs:simpleType,
2145,new-page,true,false,xs:attribute,yes-no,xs:simpleType,
2148,blank-page,true,false,xs:attribute,xs:positiveInteger,xs:simpleType,
2151,page-number,true,false,xs:attribute,xs:token,xs:simpleType,
2158,element,true,false,xs:attribute,xs:NMTOKEN,xs:simpleType,
2161,position,true,false,xs:attribute,xs:positiveInteger,xs:simpleType,
2168,href,false,true,xs:attribute,xlink:href,xs:simpleType,
2171,type,false,true,xs:attribute,xlink:type,xs:simpleType,
2174,role,false,true,xs:attribute,xlink:role,xs:simpleType,
2176,title,false,true,xs:attribute,xlink:title,xs:simpleType,
2178,show,false,true,xs:attribute,xlink:show,xs:simpleType,
